000: <EMPTY LINE>
001: RAW: ECG,PPG,MEMS_X,MEMS_Y,MEMS_Z
     TOKENS: []
002: RAW: 135,135,180,198,304
     TOKENS: ['135', '135', '180', '198', '304']
003: RAW: 105,138,152,164,243
     TOKENS: ['105', '138', '152', '164', '243']
004: RAW: 139,137,142,148,201
     TOKENS: ['139', '137', '142', '148', '201']
005: RAW: 139,139,140,141,176
     TOKENS: ['139', '139', '140', '141', '176']
006: RAW: 143,137,140,139,162
     TOKENS: ['143', '137', '140', '139', '162']
007: RAW: 115,138,137,137,153
     TOKENS: ['115', '138', '137', '137', '153']
008: RAW: 120,138,139,137,149
     TOKENS: ['120', '138', '139', '137', '149']
009: RAW: 115,138,139,139,144
     TOKENS: ['115', '138', '139', '139', '144']
010: RAW: 142,138,139,139,146
     TOKENS: ['142', '138', '139', '139', '146']
011: RAW: 137,137,139,139,144
     TOKENS: ['137', '137', '139', '139', '144']
012: RAW: 120,136,138,139,142
     TOKENS: ['120', '136', '138', '139', '142']
013: RAW: 105,138,138,138,143
     TOKENS: ['105', '138', '138', '138', '143']
014: RAW: 137,138,140,140,143
     TOKENS: ['137', '138', '140', '140', '143']
015: RAW: 170,136,139,140,144
     TOKENS: ['170', '136', '139', '140', '144']
016: RAW: 128,138,138,139,144
     TOKENS: ['128', '138', '138', '139', '144']
017: RAW: 124,139,139,139,141
     TOKENS: ['124', '139', '139', '139', '141']
018: RAW: 117,142,139,138,143
     TOKENS: ['117', '142', '139', '138', '143']
019: RAW: 151,139,140,139,144
     TOKENS: ['151', '139', '140', '139', '144']
020: RAW: 157,138,138,140,143
     TOKENS: ['157', '138', '138', '140', '143']
021: RAW: 150,137,137,137,143
     TOKENS: ['150', '137', '137', '137', '143']
022: RAW: 127,137,138,139,143
     TOKENS: ['127', '137', '138', '139', '143']
023: RAW: 132,139,139,139,143
     TOKENS: ['132', '139', '139', '139', '143']
024: RAW: 149,137,139,139,142
     TOKENS: ['149', '137', '139', '139', '142']
025: RAW: 169,137,139,139,143
     TOKENS: ['169', '137', '139', '139', '143']
026: RAW: 161,139,139,138,142
     TOKENS: ['161', '139', '139', '138', '142']
027: RAW: 131,138,139,139,141
     TOKENS: ['131', '138', '139', '139', '141']
028: RAW: 116,137,139,139,143
     TOKENS: ['116', '137', '139', '139', '143']
029: RAW: 155,137,139,139,142
     TOKENS: ['155', '137', '139', '139', '142']
030: RAW: 159,137,139,139,141
     TOKENS: ['159', '137', '139', '139', '141']
031: RAW: 151,139,139,139,140
     TOKENS: ['151', '139', '139', '139', '140']
032: RAW: 178,135,140,140,141
     TOKENS: ['178', '135', '140', '140', '141']
033: RAW: 157,137,139,140,142
     TOKENS: ['157', '137', '139', '140', '142']
034: RAW: 177,137,139,139,142
     TOKENS: ['177', '137', '139', '139', '142']
035: RAW: 166,138,139,139,141
     TOKENS: ['166', '138', '139', '139', '141']
036: RAW: 164,138,138,138,141
     TOKENS: ['164', '138', '138', '138', '141']
037: RAW: 150,137,139,138,141
     TOKENS: ['150', '137', '139', '138', '141']
038: RAW: 180,136,138,139,142
     TOKENS: ['180', '136', '138', '139', '142']
039: RAW: 172,139,139,139,142
     TOKENS: ['172', '139', '139', '139', '142']
040: RAW: 195,137,140,140,141
     TOKENS: ['195', '137', '140', '140', '141']
041: RAW: 157,138,139,139,143
     TOKENS: ['157', '138', '139', '139', '143']
042: RAW: 167,139,139,139,143
     TOKENS: ['167', '139', '139', '139', '143']
043: RAW: 172,136,138,139,141
     TOKENS: ['172', '136', '138', '139', '141']
044: RAW: 204,139,139,139,143
     TOKENS: ['204', '139', '139', '139', '143']
045: RAW: 175,137,140,139,141
     TOKENS: ['175', '137', '140', '139', '141']
046: RAW: 166,137,139,139,143
     TOKENS: ['166', '137', '139', '139', '143']
047: RAW: 170,137,139,139,142
     TOKENS: ['170', '137', '139', '139', '142']
048: RAW: 154,137,139,139,142
     TOKENS: ['154', '137', '139', '139', '142']
049: RAW: 163,140,139,139,143
     TOKENS: ['163', '140', '139', '139', '143']
050: RAW: 167,137,140,139,141
     TOKENS: ['167', '137', '140', '139', '141']
051: RAW: 152,136,138,139,143
     TOKENS: ['152', '136', '138', '139', '143']
052: RAW: 131,139,138,137,140
     TOKENS: ['131', '139', '138', '137', '140']
053: RAW: 178,138,138,139,141
     TOKENS: ['178', '138', '138', '139', '141']
054: RAW: 104,139,137,137,141
     TOKENS: ['104', '139', '137', '137', '141']
055: RAW: 87,138,138,138,140
     TOKENS: ['87', '138', '138', '138', '140']
056: RAW: 28,137,138,139,143
     TOKENS: ['28', '137', '138', '139', '143']
057: RAW: 62,138,139,139,141
     TOKENS: ['62', '138', '139', '139', '141']
058: RAW: 61,136,139,139,142
     TOKENS: ['61', '136', '139', '139', '142']
059: RAW: 82,138,139,140,142
     TOKENS: ['82', '138', '139', '140', '142']
060: RAW: 64,138,139,138,140
     TOKENS: ['64', '138', '139', '138', '140']
